name,version,license
org.tachyonproject:tachyon-underfs-hdfs,0.8.2,Apache License
org.tachyonproject:tachyon-underfs-local,0.8.2,Apache License
org.tachyonproject:tachyon-underfs-s3,0.8.2,Apache License
org.tukaani:xz,1.0,Public Domain
org.twitter4j:twitter4j-core,4.0.4,Apache License 2.0
org.twitter4j:twitter4j-stream,4.0.4,Apache License 2.0
org.uncommons.maths:uncommons-maths,1.2.2a,The Apache Software License Version 2.0
org.xerial.snappy:snappy-java,1.1.2.6,The Apache Software License Version 2.0
oro:oro,2.0.8,Apache
stax:stax-api,1.0.1,The Apache Software License Version 2.0
tomcat:jasper-compiler,5.5.23,The Apache Software License Version 2.0
tomcat:jasper-runtime,5.5.23,The Apache Software License Version 2.0
xmlenc:xmlenc,0.52,The BSD License
