name,version,license
commons-beanutils:commons-beanutils,1.7.0,Apache
commons-beanutils:commons-beanutils-core,1.8.0,The Apache Software License Version 2.0
commons-cli:commons-cli,1.2,The Apache Software License Version 2.0
commons-codec:commons-codec,1.9,The Apache Software License Version 2.0
commons-collections:commons-collections,3.2.1,The Apache Software License Version 2.0
commons-configuration:commons-configuration,1.6,The Apache Software License Version 2.0
commons-dbcp:commons-dbcp,1.4,The Apache Software License Version 2.0
commons-digester:commons-digester,1.8,The Apache Software License Version 2.0
commons-httpclient:commons-httpclient,3.1,Apache License
commons-io:commons-io,2.4,The Apache Software License Version 2.0
commons-lang:commons-lang,2.6,The Apache Software License Version 2.0
commons-logging:commons-logging,1.2,The Apache Software License Version 2.0
commons-net:commons-net,2.2,The Apache Software License Version 2.0
commons-pool:commons-pool,1.5.4,The Apache Software License Version 2.0
io.dropwizard.metrics:metrics-core,3.1.2,Apache License 2.0
io.dropwizard.metrics:metrics-graphite,3.1.2,Apache License 2.0
io.dropwizard.metrics:metrics-json,3.1.2,Apache License 2.0
io.dropwizard.metrics:metrics-jvm,3.1.2,Apache License 2.0
io.netty:netty,3.8.0.Final,The Apache Software License Version 2.0
io.netty:netty-all,4.0.29.Final,The Apache Software License Version 2.0
javax.activation:activation,1.1,Common Development and Distribution License (CDDL) v1.0
javax.inject:javax.inject,1,The Apache Software License Version 2.0
javax.jdo:jdo-api,3.0.1,Apache 2
javax.servlet:javax.servlet-api,3.0.1,CDDL + GPLv2 with classpath exception
javax.transaction:jta,1.1,-
javax.xml.bind:jaxb-api,2.2.2,CDDL 1.1 - GPL2 w/ CPE
javolution:javolution,5.5.1,BSD License
jline:jline,2.12,The BSD License
joda-time:joda-time,2.9.3,Apache 2
log4j:apache-log4j-extras,1.2.17,The Apache Software License Version 2.0
log4j:log4j,1.2.17,The Apache Software License Version 2.0
net.hydromatic:eigenbase-properties,1.1.5,The Apache Software License Version 2.0
net.java.dev.jets3t:jets3t,0.7.1,The Apache Software License Version 2.0
net.jpountz.lz4:lz4,1.3.0,The Apache Software License Version 2.0
net.razorvine:pyrolite,4.9,MIT License
net.sf.opencsv:opencsv,2.3,Apache 2
net.sf.py4j:py4j,0.9,The New BSD License
org.antlr:ST4,4.0.4,BSD licence
org.antlr:antlr-runtime,3.4,BSD
org.antlr:stringtemplate,3.2.1,BSD licence
org.apache.avro:avro,1.7.7,The Apache Software License Version 2.0
org.apache.avro:avro-ipc,1.7.7,The Apache Software License Version 2.0
org.apache.avro:avro-mapred,1.7.7,The Apache Software License Version 2.0
org.apache.calcite:calcite-avatica,1.2.0-incubating,The Apache Software License Version 2.0
org.apache.calcite:calcite-core,1.2.0-incubating,The Apache Software License Version 2.0
org.apache.calcite:calcite-linq4j,1.2.0-incubating,The Apache Software License Version 2.0
org.apache.commons:commons-compress,1.4.1,The Apache Software License Version 2.0
org.apache.commons:commons-lang3,3.3.2,The Apache Software License Version 2.0
org.apache.commons:commons-math,2.1,The Apache Software License Version 2.0
org.apache.commons:commons-math3,3.4.1,The Apache Software License Version 2.0
org.apache.curator:curator-client,2.4.0,The Apache Software License Version 2.0
org.apache.curator:curator-framework,2.4.0,The Apache Software License Version 2.0
org.apache.curator:curator-recipes,2.4.0,The Apache Software License Version 2.0
org.apache.derby:derby,10.10.2.0,Apache 2
org.apache.hadoop:hadoop-annotations,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-auth,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-client,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-common,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-hdfs,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-mapreduce-client-app,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-mapreduce-client-common,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-mapreduce-client-core,2.2.0,The Apache Software License Version 2.0
